시점,원계열,계절조정
1982 Q1,33938.4,33895.4
1982 Q2,33681.7,34736.7
1982 Q3,34259.8,35476.7
1982 Q4,38083.8,35854.9
1983 Q1,36814.5,36965.2
1983 Q2,36851,37881.2
1983 Q3,37559.6,38680.1
1983 Q4,41692.6,39391.2
1984 Q1,39735,40047.7
1984 Q2,39815.8,40803.8
1984 Q3,40820.8,41833.7
1984 Q4,44328.3,42014.7
1985 Q1,42258.9,42683.1
1985 Q2,42763.8,43705.5
1985 Q3,43786.4,44810.9
1985 Q4,47922,45531.6
1986 Q1,45987.1,46475.9
1986 Q2,46774,47668.1
1986 Q3,47897.1,49008.9
1986 Q4,52578.2,50083.4
1987 Q1,50179.7,50622.8
1987 Q2,51223.7,52067.4
1987 Q3,51593.9,52862.4
1987 Q4,56841.6,54286.4
1988 Q1,54892.3,55198.1
1988 Q2,55794.7,56608.6
1988 Q3,56683,58165.3
1988 Q4,62155.7,59553.6
1989 Q1,61185.3,61264
1989 Q2,61898.2,62744.2
1989 Q3,62571,64326.6
1989 Q4,68698.5,66018.2
1990 Q1,67957.8,67730.3
1990 Q2,68355.2,69240.2
1990 Q3,68610.8,70678.9
1990 Q4,75000.3,72274.7
1991 Q1,74121.9,73458.2
1991 Q2,74321.3,75278.3
1991 Q3,75117.2,77555.1
1991 Q4,81719.1,78987.8
1992 Q1,81089,79845
1992 Q2,80056.4,81123.8
1992 Q3,79178.8,81954.2
1992 Q4,86236.1,83637.2
1993 Q1,87239.9,85330.5
1993 Q2,84909.7,86209.4
1993 Q3,84716.1,87817.1
1993 Q4,92382.7,89891.4
1994 Q1,95058.1,92581.3
1994 Q2,92412.4,94032.3
1994 Q3,92553.7,95998.1
1994 Q4,101370.2,98782.7
1995 Q1,105104.3,102262.2
1995 Q2,102560.7,104574.6
1995 Q3,103064.2,106595.7
1995 Q4,111567.7,108864.4
1996 Q1,114000.5,111030.3
1996 Q2,110633.5,113090.9
1996 Q3,110325.6,113584.9
1996 Q4,120038.4,117292
1997 Q1,119698.6,116649.3
1997 Q2,115951,118803.5
1997 Q3,117335.2,119988.4
1997 Q4,121222,118765.7
1998 Q1,105083.2,102403.1
1998 Q2,99977.3,102724
1998 Q3,103112.2,105068
1998 Q4,109497.9,107475.5
1999 Q1,113804.7,111021.5
1999 Q2,111499.7,114580.4
1999 Q3,117174.7,119130.3
1999 Q4,125509.5,123256.5
2000 Q1,128813.5,125902
2000 Q2,124555.5,127794.7
2000 Q3,126398.2,128507.2
2000 Q4,131839.4,129402.7
2001 Q1,132528.3,129928.1
2001 Q2,131537,134655.2
2001 Q3,134384.5,136571.9
2001 Q4,142794.3,140089
2002 Q1,147309.3,144833.9
2002 Q2,144607.3,147723.7
2002 Q3,146327.1,148684.4
2002 Q4,151589.3,148591
2003 Q1,149370,147306.2
2003 Q2,143647.9,146485.2
2003 Q3,144655.1,146932.1
2003 Q4,149927.4,146876.9
2004 Q1,148342.2,146674.1
2004 Q2,144588.4,147119.6
2004 Q3,145000.5,147287.7
2004 Q4,152016.2,148866
2005 Q1,151767,150300.6
2005 Q2,151482.1,153852.3
2005 Q3,153422.1,155761.9
2005 Q4,160745.5,157502
2006 Q1,160479.6,158999.8
2006 Q2,158650.2,160993.3
2006 Q3,160353.2,162747.1
2006 Q4,168321.2,165064.2
2007 Q1,168685.7,167094.4
2007 Q2,167342.4,169856.8
2007 Q3,169466.1,171758.3
2007 Q4,176538.2,173322.8
2008 Q1,176941.4,175110.6
2008 Q2,172167,174925
2008 Q3,172789.9,174821.8
2008 Q4,171205,168245.8
2009 Q1,169626.2,167800.5
2009 Q2,170815.3,173796.4
2009 Q3,173945.8,175673.3
2009 Q4,180227.8,177345
2010 Q1,180935.5,178889.4
2010 Q2,177018.6,180458.3
2010 Q3,180649.9,182178.8
2010 Q4,186514.5,183592
2011 Q1,187921.3,185763.9
2011 Q2,183227.7,187106
2011 Q3,185331.3,186665.3
2011 Q4,190010.4,186955.5
2012 Q1,190394.7,188157.8
2012 Q2,184410.3,188779.9
2012 Q3,189539.3,190696
2012 Q4,194495.1,191205.7
2013 Q1,192822.2,190566.4
2013 Q2,187576.8,192348.7
2013 Q3,192855.2,193849.9
2013 Q4,198759.5,195248.8
2014 Q1,198603.5,196239
2014 Q2,191071.7,196203.9
2014 Q3,196261.8,197086.4
2014 Q4,201472.6,197880.4
2015 Q1,201742.9,199433.4
2015 Q2,194514.9,199764.8
2015 Q3,200252.1,200969.6
2015 Q4,208302.4,204644.5
2016 Q1,206733.2,204494.6
2016 Q2,200862.7,206182.8
2016 Q3,206719.3,207268.9
2016 Q4,211361,207729.9
2017 Q1,211037.3,208940.1
2017 Q2,206191.8,211453.9
2017 Q3,213014.1,213522.1
2017 Q4,218346,214673.3
2018 Q1,219621.4,217545.5
2018 Q2,212894.3,218211.9
2018 Q3,218810.1,219355
2018 Q4,224252.1,220465.6
2019 Q1,222635.4,220595.1
2019 Q2,216718.5,222066.1
2019 Q3,222306.9,222920.6
2019 Q4,228506.9,224585.8
2020 Q1,211991.9,210078.6
2020 Q2,208083.8,213186.3
2020 Q3,212607.8,213222.7
2020 Q4,213628.4,209933.1
